Comparación	Mean_Fst	Weighted_Fst
MosR1_WINE_vs_Wine14	0.29958	0.43664
MosR3_Sake_vs_MosR3	-0.34545	0.094409
MosR3_Sake_vs_MosR3_Wine	0.036182	0.36244
MosR3_Sake_vs_MR2_Wine	0.59964	0.7772
MosR3_Sake_vs_NortAmOak	-0.30854	0.36845
MosR3_Sake_vs_Sake_AsianFerm	-0.10342	0.48298
MosR3_Sake_vs_SAM1	0.025066	0.69717
MosR3_Sake_vs_SAM2	-0.16066	0.43126
MosR3_Sake_vs_SAM3	-0.10053	0.47358
MosR3_Sake_vs_Taiwanese	-nan	-nan
MosR3_Sake_vs_Taiwan	0.98465	0.99258
MosR3_Sake_vs_Tamaulipas	0.47718	0.71956
MosR3_Sake_vs_Tequila	-0.0029499	0.38811
MosR3_Sake_vs_Wine12	-0.069625	0.75975
MosR3_Sake_vs_Wine14	0.42192	0.81134
MosR3_vs_MosR3_Wine	-0.054306	0.086378
MosR3_vs_MR2_Wine	-0.01286	0.19457
MosR3_vs_NortAmOak	0.1342	0.2112
MosR3_vs_Sake_AsianFerm	0.18415	0.37229
MosR3_vs_SAM1	0.28618	0.48297
MosR3_vs_SAM2	0.16015	0.33229
MosR3_vs_SAM3	0.13827	0.21813
MosR3_vs_Taiwanese	0.19213	0.68235
MosR3_vs_Taiwan	0.042279	0.31261
MosR3_vs_Tamaulipas	0.32903	0.51486
MosR3_vs_Tequila	0.12427	0.20878
MosR3_vs_Wine12	0.21301	0.42007
MosR3_vs_Wine14	0.2219	0.4114
MosR3_Wine_vs_MR2_Wine	0.29887	0.47813
MosR3_Wine_vs_NortAmOak	0.14692	0.41944
MosR3_Wine_vs_Sake_AsianFerm	0.30477	0.60414
MosR3_Wine_vs_SAM1	0.34544	0.68892
MosR3_Wine_vs_SAM2	0.12762	0.39839
MosR3_Wine_vs_SAM3	0.027792	0.25116
MosR3_Wine_vs_Taiwanese	0.61945	0.78985
MosR3_Wine_vs_Taiwan	0.56617	0.72354
